ID,LGA_ID
1489,126
1490,85
1491,60
1492,70
1493,102
1494,64
1495,48
1496,92
1497,182
1498,68
1499,243
1500,27
1501,233
1502,33
1503,53
1504,12
1505,266
1506,60
1507,164
1508,137
1509,303
1510,185
1511,218
1512,168
1513,167
1514,182
1515,66
1516,78
1517,83
1518,116
1519,27
1520,216
1521,43
1522,57
1523,53
1524,150
1525,58
1526,30
1527,168
1528,42
1529,8
1530,111
1531,53
1532,304
1533,92
1534,129
1535,243
1536,229
1537,53
1538,91
1539,84
1540,161
1541,93
1542,80
1543,76
1544,218
1545,41
1546,67
1547,272
1548,51
1549,106
1550,115
1551,115
1552,115
1553,115
1554,115
1555,115
1556,115
1557,115
1558,115
1559,115
1560,219
1561,248
1562,76
1563,27
1564,8
1565,294
1566,140
1567,164
1568,81
1569,164
1570,40
1571,152
1572,141
1573,170
1574,140
1575,41
1576,246
1577,276
1578,94
1579,126
1580,143
1581,106
1582,41
1583,24
1584,227
1585,106
1586,29
1587,27
1588,32
1589,32
1590,19
1591,92
1592,293
1593,155
1594,241
1595,103
1596,1
1597,256
1598,14
1599,135
1600,142
1601,239
1602,112
1603,41
1604,116
1605,135
1606,131
1607,48
1608,174
1609,305
1610,294
1611,169
1612,31
1613,72
1614,72
1615,66
1616,53
1617,116
1618,116
1619,243
1620,81
1621,276
1622,143
1623,27
1624,306
1625,307
1626,89
1627,294
1628,308
1629,117
1630,169
1631,119
1632,31
1633,56
1634,268
1635,58
1636,202
1637,126
1638,23
1639,23
1640,58
1641,56
1642,150
1643,56
1644,58
1645,309
1646,41
1647,94
1648,94
1649,94
1650,129
1651,62
1652,62
1653,62
1654,62
1655,261
1656,141
1657,104
1658,65
1659,129
1660,76
1661,258
1662,76
1663,91
1664,167
1665,88
1666,206
1667,87
1668,38
1669,69
1670,62
1671,135
1672,164
1673,167
1674,310
1675,51
1676,98
1677,51
1678,1
1679,80
1680,14
1681,183
1682,58
1683,242
1684,15
1685,125
1686,233
1687,233
1688,292
1689,78
1690,31
1691,31
1692,31
1693,65
1694,20
1695,81
1696,106
1697,217
1698,88
1699,56
1700,204
1701,204
1702,204
1703,204
1704,204
1705,2
1706,20
1707,27
1708,37
1709,83
1710,95
1711,58
1712,213
1713,20
1714,65
1715,311
1716,311
1717,311
1718,311
1719,27
1720,37
1721,45
1722,60
1723,23
1724,53
1725,116
1726,27
1727,41
1728,128
1729,235
1730,28
1731,142
1732,177
1733,85
1734,32
1735,190
1736,129
1737,116
1738,22
1739,231
1740,138
1741,81
1742,55
1743,220
1744,37
1745,53
1746,105
1747,105
1748,105
1749,58
1750,306
1751,306
1752,65
1753,85
1754,27
1755,183
1756,14
1757,219
1758,38
1759,142
1760,175
1761,78
1762,204
1763,204
1764,226
1765,23
1766,53
1767,117
1768,27
1769,141
1770,141
1771,141
1772,79
1773,72
1774,233
1775,38
1776,144
1777,228
1778,14
1779,251
1780,7
1781,276
1782,312
1783,164
1784,157
1785,290
1786,181
1787,181
1788,119
1789,226
1790,158
1791,33
1792,277
1793,106
1794,44
1795,94
1796,13
1797,92
1798,78
1799,115
1800,111
1801,71
1802,91
1803,183
1804,161
1805,185
1806,32
1807,32
1808,145
1809,81
1810,129
1811,138
1812,42
1813,180
1814,39
1815,303
1816,157
1817,313
1818,117
1819,179
1820,314
1821,58
1822,13
1823,260
1824,315
1825,41
1826,106
1827,83
1828,177
1829,34
1830,98
1831,316
1832,12
1833,12
1834,117
1835,76
1836,91
1837,53
1838,21
1839,128
1840,40
1841,135
1842,291
1843,125
1844,116
1845,84
1846,84
1847,132
1848,31
1849,165
1850,180
1851,71
1852,34
1853,317
1854,318
1855,231
1856,213
1857,120
1858,74
1859,176
1860,58
1861,153
1862,57
1863,297
1864,253
1865,238
1866,319
1867,253
1868,292
1869,31
1870,256
1871,47
1872,244
1873,204
1874,222
1875,222
1876,206
1877,130
1878,144
1879,86
1880,206
1881,199
1882,92
1883,134
1884,24
1885,121
1886,83
1887,36
1888,5
1889,31
1890,208
1891,95
1892,186
1893,81
1894,259
1895,246
1896,246
1897,181
1898,73
1899,44
1900,128
1901,56
1902,37
1903,79
1904,42
1905,92
1906,190
1907,209
1908,193
1909,315
1910,199
1911,52
1912,320
1913,92
1914,92
1915,114
1916,16
1917,62
1918,112
1919,116
1920,126
1921,117
1922,1
1923,251
1924,278
1925,321
1926,322
1927,53
1928,123
1929,62
1930,117
1931,27
1932,323
1933,324
1934,322
1935,172
1936,282
1937,81
1938,27
1939,114
1940,239
1941,232
1942,51
1943,51
1944,168
1945,185
1946,82
1947,135
1948,135
1949,176
1950,6
1951,64
1952,84
1953,71
1954,84
1955,155
1956,41
1957,41
1958,41
1959,194
1960,83
1961,197
1962,58
1963,61
1964,37
1965,307
1966,307
1967,183
1968,56
1969,198
1970,144
1971,144
1972,144
1973,144
1974,103
1975,237
1976,89
1977,11
1978,20
1979,166
1980,276
1981,44
1982,81
1983,81
1984,81
1985,91
1986,276
1987,166
1988,47
1989,21
1990,129
1991,129
1992,119
1993,275
1994,25
1995,25
1996,325
1997,106
1998,106
1999,133
2000,16
2001,56
2002,41
2003,326
2004,53
2005,53
2006,157
2007,128
2008,324
2009,104
2010,35
2011,14
2012,14
2013,85
2014,165
2015,228
2016,58
2017,18
2018,80
2019,27
2020,2
2021,16
2022,53
2023,42
2024,1
2025,6
2026,6
2027,6
2028,209
2029,15
2030,58
2031,129
2032,103
2033,58
2034,103
2035,129
2036,81
2037,157
2038,31
2039,65
2040,77
2041,44
2042,126
2043,327
2044,81
2045,262
2046,183
2047,226
2048,176
2049,7
2050,193
2051,150
2052,48
2053,175
2054,38
2055,147
2056,44
2057,58
2058,176
2059,53
2060,126
2061,187
2062,211
2063,81
2064,81
2065,17
2066,131
2067,58
2068,116
2069,4
2070,275
2071,189
2072,4
2073,190
2074,119
2075,216
2076,20
2077,220
2078,58
2079,53
2080,154
2081,218
2082,244
2083,226
2084,56
2085,7
2086,328
2087,329
2088,164
2089,81
2090,182
2091,44
2092,226
2093,170
2094,38
2095,301
2096,31
2097,31
2098,106
2099,126
2100,275
2101,135
2102,330
2103,58
2104,78
2105,78
2106,98
2107,187
2108,62
2109,197
2110,331
2111,332
2112,252
2113,295
2114,41
2115,102
2116,79
2117,106
2118,112
2119,135
2120,280
2121,27
2122,194
2123,327
2124,327
2125,310
2126,128
2127,81
2128,207
2129,301
2130,158
2131,53
2132,2
2133,176
2134,65
2135,85
2136,72
2137,37
2138,12
2139,12
2140,58
2141,16
2142,67
2143,272
2144,17
2145,182
2146,149
2147,42
2148,327
2149,141
2150,176
2151,82
2152,214
2153,21
2154,25
2155,167
2156,82
2157,82
2158,5
2159,254
2160,67
2161,58
2162,45
2163,82
2164,82
2165,82
2166,87
2167,180
2168,27
2169,25
2170,58
2171,62
2172,129
2173,239
2174,155
2175,24
2176,227
2177,15
2178,138
2179,194
2180,161
2181,73
2182,63
2183,212
2184,148
2185,73
2186,134
2187,172
2188,42
2189,81
2190,33
2191,8
2192,58
2193,62
2194,3
2195,31
2196,43
2197,74
2198,19
2199,19
2200,214
2201,35
2202,16
2203,62
2204,234
2205,219
2206,16
2207,27
2208,164
2209,97
2210,35
2211,185
2212,61
2213,196
2214,58
2215,43
2216,246
2217,276
2218,7
2219,239
2220,106
2221,24
2222,37
2223,37
2224,188
2225,26
2226,181
2227,81
2228,74
2229,183
2230,132
2231,194
2232,207
2233,50
2234,103
2235,297
2236,115
2237,100
2238,122
2239,27
2240,248
2241,29
2242,28
2243,37
2244,70
2245,75
2246,151
2247,181
2248,145
2249,126
2250,58
2251,135
2252,89
2253,6
2254,333
2255,58
2256,90
2257,182
2258,152
2259,98
2260,282
2261,126
2262,161
2263,98
2264,190
2265,76
2266,181
2267,138
2268,160
2269,18
2270,152
2271,152
2272,152
2273,152
2274,152
2275,55
2276,65
2277,176
2278,123
2279,65
2280,35
2281,98
2282,92
2283,76
2284,58
2285,72
2286,204
2287,103
2288,60
2289,60
2290,66
2291,51
2292,226
2293,130
2294,274
2295,282
2296,282
2297,53
2298,134
2299,58
2300,135
2301,82
2302,330
2303,330
2304,51
2305,36
2306,185
2307,53
2308,334
2309,92
2310,313
2311,70
2312,56
2313,169
2314,169
2315,169
2316,160
2317,20
2318,58
2319,335
2320,108
2321,24
2322,276
2323,92
2324,11
2325,165
2326,76
2327,130
2328,97
2329,5
2330,191
2331,336
2332,330
2333,63
2334,109
2335,89
2336,134
2337,65
2338,61
2339,167
2340,206
2341,334
2342,289
2343,43
2344,172
2345,337
2346,219
2347,19
2348,167
2349,223
2350,72
2351,106
2352,338
2353,159
2354,159
2355,53
2356,144
2357,48
2358,181
2359,15
2360,126
2361,41
2362,18
2363,117
2364,41
2365,217
2366,263
2367,190
2368,185
2369,116
2370,236
2371,330
2372,330
2373,6
2374,188
2375,126
2376,303
2377,161
2378,51
2379,137
2380,116
2381,27
2382,130
2383,20
2384,282
2385,20
2386,315
2387,18
2388,176
2389,21
2390,312
2391,144
2392,218
2393,72
2394,69
2395,58
2396,56
2397,133
2398,103
2399,54
2400,48
2401,324
2402,54
2403,14
2404,161
2405,181
2406,209
2407,53
2408,75
2409,14
2410,169
2411,113
2412,155
2413,263
2414,145
2415,297
2416,239
2417,106
2418,31
2419,141
2420,135
2421,320
2422,339
2423,212
2424,52
2425,185
2426,128
2427,239
2428,16
2429,27
2430,27
2431,72
2432,37
2433,340
2434,207
2435,188
2436,69
2437,9
2438,41
2439,76
2440,92
2441,15
2442,208
2443,310
2444,60
2445,48
2446,151
2447,65
2448,341
2449,207
2450,238
2451,21
2452,152
2453,181
2454,209
2455,63
2456,82
2457,164
2458,282
2459,97
2460,65
2461,37
2462,91
2463,81
2464,304
2465,264
2466,111
2467,176
2468,72
2469,41
2470,219
2471,168
2472,69
2473,78
2474,58
2475,342
2476,104
2477,27
2478,66
2479,106
2480,263
2481,176
2482,181
2483,58
2484,194
2485,43
2486,138
2487,93
2488,103
2489,272
2490,272
2491,207
2492,32
2493,176
2494,27
2495,27
2496,343
2497,343
2498,130
2499,81
2500,34
2501,34
2502,34
2503,92
2504,167
2505,58
2506,310
2507,251
2508,44
2509,3
2510,112
2511,43
2512,92
2513,92
2514,82
2515,31
2516,185
2517,76
2518,251
2519,182
2520,52
2521,272
2522,64
2523,182
2524,106
2525,27
2526,344
2527,207
2528,58
2529,82
2530,106
2531,183
2532,158
2533,260
2534,24
2535,24
2536,21
2537,239
2538,82
2539,167
2540,98
2541,81
2542,24
2543,24
2544,76
2545,76
2546,76
2547,64
2548,66
2549,31
2550,193
2551,193
2552,152
2553,138
2554,134
2555,53
2556,60
2557,74
2558,116
2559,58
2560,27
2561,100
2562,37
2563,112
2564,9
2565,125
2566,176
2567,230
2568,165
2569,82
2570,246
2571,31
2572,16
2573,170
2574,48
2575,261
2576,261
2577,14
2578,57
2579,119
2580,289
2581,58
2582,24
2583,58
2584,65
2585,38
2586,80
2587,225
2588,137
2589,32
2590,233
2591,74
2592,136
2593,51
2594,195
2595,106
2596,331
2597,290
2598,82
2599,226
2600,80
2601,27
2602,95
2603,345
2604,292
2605,47
2606,293
2607,214
2608,214
2609,218
2610,77
2611,236
2612,179
2613,74
2614,24
2615,24
2616,59
2617,308
2618,57
2619,276
2620,76
2621,94
2622,51
2623,16
2624,288
2625,108
2626,143
2627,235
2628,261
2629,22
2630,209
2631,69
2632,39
2633,334
2634,144
2635,125
2636,346
2637,82
2638,41
2639,187
2640,221
2641,197
2642,76
2643,18
2644,18
2645,285
2646,190
2647,63
2648,43
2649,270
2650,270
2651,210
2652,89
2653,89
2654,145
2655,20
2656,106
2657,106
2658,347
2659,230
2660,185
2661,38
2662,32
2663,195
2664,188
2665,348
2666,208
2667,145
2668,65
2669,291
2670,155
2671,50
2672,44
2673,72
2674,20
2675,7
2676,7
2677,7
2678,7
2679,348
2680,135
2681,86
2682,152
2683,88
2684,87
2685,273
2686,107
2687,188
2688,282
2689,81
2690,189
2691,189
2692,135
2693,204
2694,349
2695,41
2696,128
2697,38
2698,73
2699,350
2700,98
2701,53
2702,149
2703,25
2704,346
2705,95
2706,239
2707,27
2708,37
2709,1
2710,334
2711,121
2712,303
2713,202
2714,280
2715,4
2716,24
2717,218
2718,181
2719,209
2720,18
2721,273
2722,5
2723,216
2724,51
2725,51
2726,155
2727,58
2728,27
2729,74
2730,74
2731,193
2732,149
2733,14
2734,103
2735,209
2736,208
2737,295
2738,276
2739,73
2740,197
2741,152
2742,61
2743,7
2744,286
2745,24
2746,98
2747,34
2748,194
2749,91
2750,99
2751,189
2752,25
2753,106
2754,95
2755,31
2756,44
2757,50
2758,41
2759,42
2760,334
2761,63
2762,187
2763,130
2764,246
2765,81
2766,117
2767,24
2768,103
2769,14
2770,81
2771,344
2772,108
2773,321
2774,130
2775,129
2776,106
2777,110
2778,187
2779,255
2780,75
2781,151
2782,31
2783,116
2784,151
2785,23
2786,2
2787,207
2788,207
2789,207
2790,207
2791,351
2792,351
2793,350
2794,219
2795,125
2796,352
2797,353
2798,354
2799,190
2800,167
2801,58
2802,102
2803,125
2804,137
2805,315
2806,53
2807,47
2808,220
2809,96
2810,67
2811,106
2812,15
2813,30
2814,130
2815,229
2816,81
2817,117
2818,158
2819,82
2820,3
2821,76
2822,262
2823,20
2824,14
2825,230
2826,21
2827,126
2828,37
2829,173
2830,13
2831,53
2832,134
2833,312
2834,176
2835,275
2836,275
2837,348
2838,152
2839,106
2840,204
2841,201
2842,162
2843,87
2844,27
2845,250
2846,303
2847,92
2848,106
2849,60
2850,171
2851,214
2852,355
2853,355
2854,75
2855,112
2856,104
2857,190
2858,10
2859,15
2860,58
2861,113
2862,138
2863,53
2864,53
2865,276
2866,106
2867,48
2868,115
2869,100
2870,31
2871,119
2872,100
2873,233
2874,356
2875,105
2876,58
2877,338
2878,39
2879,107
2880,181
2881,106
2882,239
2883,215
2884,116
2885,92
2886,145
2887,219
2888,94
2889,264
2890,91
2891,54
2892,12
2893,91
2894,167
2895,40
2896,44
2897,41
2898,41
2899,141
2900,167
2901,208
2902,110
2903,152
2904,282
2905,165
2906,251
2907,117
2908,86
2909,74
2910,113
2911,126
2912,104
2913,104
2914,144
2915,73
2916,87
2917,310
2918,246
2919,64
2920,3
2921,297
2922,61
2923,290
2924,121
2925,200
2926,73
2927,190
2928,58
2929,11
2930,219
2931,42
2932,334
2933,39
2934,39
2935,259
2936,285
2937,153
2938,82
2939,320
2940,8
2941,7
2942,158
2943,357
2944,41
2945,126
2946,184
2947,129
2948,181
2949,55
2950,190
2951,352
2952,189
2953,57
2954,35
2955,187
2956,200
2957,310
2958,81
2959,310
2960,346
2961,27
2962,173
2963,252
2964,252
2965,53
2966,219
2967,306
2968,16
2969,175
2970,229
2971,137
2972,115
2973,358
2974,17
2975,59
2976,359
2977,135
2978,204
2979,32
2980,14
2981,295
2982,283
2983,58
2984,303
2985,88
2986,360
2987,38
2988,180
2989,105
2990,260
2991,48
2992,50
2993,88
